,Province_State,Lat,Long_,date,confirmed,Population,deaths,Incidence_Rate,Mortality_Rate
0,Alabama,2203.24678369,-5809.578199250002,1/22/20,0,4903185.0,0,0.0,
1,Alaska,1747.1777653900003,-4293.070291,1/22/20,0,731545.0,0,0.0,
2,American Samoa,-14.270999999999999,-170.132,1/22/20,0,55641.0,0,0.0,
3,Arizona,505.13855463,-1671.9484819,1/22/20,0,7278717.0,0,0.0,
4,Arkansas,2618.39170427,-6932.548370129999,1/22/20,0,3017804.0,0,0.0,
5,California,2194.94977547,-7002.258461499999,1/22/20,0,39512223.0,0,0.0,
6,Colorado,2491.870365929999,-6751.119357399998,1/22/20,0,5758736.0,0,0.0,
7,Connecticut,332.90944112,-581.25463743,1/22/20,0,3565287.0,0,0.0,
8,Delaware,117.32783047000001,-226.59971236999996,1/22/20,0,973764.0,0,0.0,
10,District of Columbia,38.90417773,-77.01655992,1/22/20,0,705749.0,0,0.0,
11,Florida,1939.0305769000004,-5540.949841920001,1/22/20,0,21477737.0,0,0.0,
12,Georgia,5216.5566110300015,-13288.811358250005,1/22/20,0,10617423.0,0,0.0,
14,Guam,13.4443,144.7937,1/22/20,0,164229.0,0,0.0,
15,Hawaii,105.14141503,-786.6161824,1/22/20,0,1415872.0,0,0.0,
16,Idaho,1947.5896553700004,-5036.245496399999,1/22/20,0,1787065.0,0,0.0,
17,Illinois,4064.04900553,-9096.1896671,1/22/20,0,12671821.0,0,0.0,
18,Indiana,3665.036491239999,-7932.1082973199955,1/22/20,0,6732219.0,0,0.0,
19,Iowa,4160.9610923300015,-9253.08642292,1/22/20,0,3155070.0,0,0.0,
20,Kansas,4040.9647841699993,-10298.87791087,1/22/20,0,2913314.0,0,0.0,
21,Kentucky,4514.657262000001,-10223.986874159998,1/22/20,0,4467673.0,0,0.0,
22,Louisiana,1989.9153525399995,-5876.747945990001,1/22/20,0,4648794.0,0,0.0,
23,Maine,715.0030145,-1112.38029805,1/22/20,0,1344212.0,0,0.0,
24,Maryland,936.35809657,-1840.2112226099998,1/22/20,0,6045680.0,0,0.0,
25,Massachusetts,630.9941489099999,-1071.27703141,1/22/20,0,6892503.0,0,0.0,
26,Michigan,3655.6204674499986,-7070.080729440003,1/22/20,0,9986857.0,0,0.0,
27,Minnesota,3963.0251292199996,-8215.492913339998,1/22/20,0,5639632.0,0,0.0,
28,Mississippi,2689.00357846,-7350.949515640001,1/22/20,0,2976149.0,0,0.0,
29,Missouri,4460.9847262700005,-10729.940478620003,1/22/20,0,6626371.0,0,0.0,
30,Montana,2630.5827033899996,-6143.222113400001,1/22/20,0,1068778.0,0,0.0,
31,Nebraska,3842.9269300899973,-9210.62813682,1/22/20,0,1934408.0,0,0.0,
32,Nevada,667.3519446600001,-1998.5878900999996,1/22/20,0,3080156.0,0,0.0,
33,New Hampshire,434.78972876,-715.77656705,1/22/20,0,1359711.0,0,0.0,
34,New Jersey,846.0152591300001,-1567.07144401,1/22/20,0,8882190.0,0,0.0,
35,New Mexico,1140.1288462999999,-3494.2745445,1/22/20,0,2096829.0,0,0.0,
36,New York,2637.7373826599996,-4679.39936508,1/22/20,0,26161672.0,0,0.0,
37,North Carolina,3562.420971000001,-7950.109873960003,1/22/20,0,10488084.0,0,0.0,
38,North Dakota,2511.8558565800004,-5313.217852090001,1/22/20,0,762062.0,0,0.0,
39,Northern Mariana Islands,15.0979,145.6739,1/22/20,0,55144.0,0,0.0,
40,Ohio,3547.3389435400018,-7289.51590458,1/22/20,0,11689100.0,0,0.0,
41,Oklahoma,2733.6474108,-7488.35776672,1/22/20,0,3956971.0,0,0.0,
42,Oregon,1601.7264242899996,-4373.1691055,1/22/20,0,4217737.0,0,0.0,
43,Pennsylvania,2734.8112497699994,-5200.22629518,1/22/20,0,12801989.0,0,0.0,
44,Puerto Rico,1422.70343,-5179.780198999999,1/22/20,0,3754939.0,0,0.0,
45,Rhode Island,208.27571053,-357.32052549,1/22/20,0,1059361.0,0,0.0,
46,South Carolina,1562.0437180300005,-3725.2363858399995,1/22/20,0,5148714.0,0,0.0,
47,South Dakota,2921.9978651999995,-6554.50198811,1/22/20,0,884659.0,0,0.0,
48,Tennessee,3409.0847101599993,-8180.328683919998,1/22/20,0,6829174.0,0,0.0,
49,Texas,8041.803434339999,-25057.879425249983,1/22/20,0,28995881.0,0,0.0,
50,Utah,1388.55098628,-3904.519943400001,1/22/20,0,3205958.0,0,0.0,
51,Vermont,618.2329411800001,-1017.58132988,1/22/20,0,623989.0,0,0.0,
52,Virgin Islands,18.3358,-64.8963,1/22/20,0,107268.0,0,0.0,
53,Virginia,4996.297993259999,-10442.323660759994,1/22/20,0,8535519.0,0,0.0,
